Student ID,Course Type,Assignments Score (%),Lab Completion (%),Project-Based Learning Score (%),Innovation Index (0-100),Entrepreneurship Engagement (0-100),AI Classification Label,Startup Participation,Industry Collaboration (Hours),AI-Powered Recommendation
S443,Hybrid,87,95,83,26,58,Moderate Performer,Yes,8,RTOS & Kernel Programming
S444,Hardware,82,92,78,28,77,Moderate Performer,No,13,RTOS & Kernel Programming
S445,Hardware,73,65,53,27,88,Low Performer,Yes,9,Basic Embedded Systems
S446,Hardware,64,53,66,34,21,Low Performer,Yes,60,Basic Embedded Systems
S447,Hardware,79,86,84,7,29,Moderate Performer,No,54,RTOS & Kernel Programming
S448,Software,91,70,62,15,83,Low Performer,Yes,79,Basic Embedded Systems
S449,Hardware,66,63,90,35,84,Low Performer,Yes,19,Basic Embedded Systems
S450,Hybrid,54,80,88,29,43,Low Performer,Yes,36,Basic Embedded Systems
S451,Hybrid,78,97,64,17,31,Low Performer,Yes,32,Basic Embedded Systems
S452,Hardware,53,67,78,1,50,Low Performer,Yes,26,Basic Embedded Systems
S453,Hybrid,59,56,78,48,45,Low Performer,No,21,Basic Embedded Systems
S454,Hardware,66,59,60,76,20,Low Performer,No,63,Basic Embedded Systems
S455,Hardware,59,56,81,3,98,Low Performer,No,75,Basic Embedded Systems
S456,Hybrid,66,82,51,89,31,Low Performer,No,61,Basic Embedded Systems
S457,Hardware,69,72,96,88,93,Low Performer,Yes,30,Basic Embedded Systems
S458,Hybrid,73,70,63,93,38,Low Performer,No,29,Basic Embedded Systems
S459,Software,54,68,69,74,11,Low Performer,No,14,Basic Embedded Systems
S460,Hardware,83,97,71,6,46,Moderate Performer,Yes,49,RTOS & Kernel Programming
S461,Software,55,68,60,94,17,Low Performer,No,15,Basic Embedded Systems
S462,Hybrid,51,85,76,73,20,Low Performer,Yes,57,Basic Embedded Systems
S463,Software,62,78,52,38,12,Low Performer,No,76,Basic Embedded Systems
S464,Software,92,67,66,12,20,Low Performer,No,72,Basic Embedded Systems
S465,Hybrid,92,51,93,30,7,Low Performer,No,32,Basic Embedded Systems
S466,Software,97,50,77,70,45,Low Performer,No,79,Basic Embedded Systems
S467,Software,60,96,78,62,6,Low Performer,No,69,Basic Embedded Systems
S468,Hybrid,96,54,70,55,22,Low Performer,No,53,Basic Embedded Systems
S469,Software,72,69,96,41,95,Low Performer,Yes,51,Basic Embedded Systems
S470,Hybrid,65,60,65,60,74,Low Performer,Yes,56,Basic Embedded Systems
S471,Software,80,91,86,41,85,Moderate Performer,No,58,RTOS & Kernel Programming
S472,Hybrid,60,51,69,55,21,Low Performer,No,64,Basic Embedded Systems
S473,Hybrid,65,52,55,35,88,Low Performer,No,61,Basic Embedded Systems
S474,Software,57,72,68,83,21,Low Performer,No,51,Basic Embedded Systems
S475,Software,53,61,54,67,91,Low Performer,No,35,Basic Embedded Systems
S476,Software,89,69,52,6,28,Low Performer,No,50,Basic Embedded Systems
S477,Hardware,53,54,50,53,12,Low Performer,No,30,Basic Embedded Systems
S478,Hardware,74,86,87,0,81,Moderate Performer,No,9,RTOS & Kernel Programming
S479,Hardware,52,87,64,43,1,Low Performer,No,56,Basic Embedded Systems
S480,Hybrid,81,79,83,44,28,Moderate Performer,No,79,RTOS & Kernel Programming
S481,Software,52,58,84,46,84,Low Performer,Yes,58,Basic Embedded Systems
S482,Hybrid,76,83,98,12,78,Moderate Performer,No,37,RTOS & Kernel Programming
S483,Hardware,78,93,74,21,51,Moderate Performer,Yes,54,RTOS & Kernel Programming
S484,Software,81,84,73,20,26,Moderate Performer,Yes,42,RTOS & Kernel Programming
S485,Hybrid,99,71,61,85,49,Low Performer,Yes,31,Basic Embedded Systems
S486,Software,68,93,67,91,94,Low Performer,No,19,Basic Embedded Systems
S487,Hybrid,70,73,64,8,78,Low Performer,No,65,Basic Embedded Systems
S488,Software,54,66,93,25,22,Low Performer,Yes,25,Basic Embedded Systems
S489,Hardware,67,59,65,8,87,Low Performer,No,50,Basic Embedded Systems
S490,Hardware,77,79,76,14,43,Moderate Performer,No,73,RTOS & Kernel Programming
S491,Software,91,95,57,9,76,Low Performer,No,10,Basic Embedded Systems
S492,Hybrid,71,72,95,87,21,Moderate Performer,Yes,42,RTOS & Kernel Programming
S493,Hardware,70,81,74,41,42,Moderate Performer,No,66,RTOS & Kernel Programming
S494,Hardware,55,66,66,71,36,Low Performer,No,66,Basic Embedded Systems
S495,Hardware,50,99,78,23,60,Low Performer,Yes,78,Basic Embedded Systems
S496,Software,54,66,57,79,96,Low Performer,Yes,50,Basic Embedded Systems
S497,Software,90,63,64,48,55,Low Performer,No,17,Basic Embedded Systems
S498,Hybrid,61,58,76,25,2,Low Performer,No,7,Basic Embedded Systems
S499,Hybrid,75,89,95,90,62,Moderate Performer,No,10,RTOS & Kernel Programming
S500,Hybrid,95,51,99,36,18,Low Performer,No,12,Basic Embedded Systems
S501,Software,83,94,56,67,22,Low Performer,No,48,Basic Embedded Systems
S502,Software,98,74,52,49,28,Low Performer,No,37,Basic Embedded Systems
S503,Hybrid,63,88,78,23,29,Low Performer,Yes,79,Basic Embedded Systems
S504,Hybrid,75,58,93,18,38,Low Performer,No,54,Basic Embedded Systems
S505,Software,94,71,73,99,24,Moderate Performer,No,15,RTOS & Kernel Programming
S506,Hybrid,76,92,52,59,7,Low Performer,No,32,Basic Embedded Systems
S507,Hardware,58,95,69,38,57,Low Performer,No,74,Basic Embedded Systems
S508,Software,75,53,95,73,15,Low Performer,No,45,Basic Embedded Systems
S509,Hybrid,96,75,64,88,71,Low Performer,Yes,20,Basic Embedded Systems
S510,Software,71,78,74,17,0,Moderate Performer,No,72,RTOS & Kernel Programming
S511,Hardware,96,94,79,18,4,Moderate Performer,Yes,52,RTOS & Kernel Programming
S512,Software,79,83,63,35,2,Low Performer,No,60,Basic Embedded Systems
S513,Software,92,72,56,73,64,Low Performer,Yes,68,Basic Embedded Systems
S514,Software,97,86,66,96,3,Low Performer,Yes,63,Basic Embedded Systems
S515,Software,66,60,93,54,98,Low Performer,No,66,Basic Embedded Systems
S516,Hardware,75,55,69,68,95,Low Performer,Yes,15,Basic Embedded Systems
S517,Software,85,67,85,46,63,Low Performer,No,22,Basic Embedded Systems
S518,Software,50,70,58,48,97,Low Performer,No,23,Basic Embedded Systems
S519,Hybrid,57,91,87,98,88,Low Performer,Yes,59,Basic Embedded Systems
S520,Software,98,85,97,97,9,High Performer - Technical,Yes,30,Embedded Security
S521,Hybrid,84,90,71,32,20,Moderate Performer,No,10,RTOS & Kernel Programming
S522,Hardware,64,87,51,20,45,Low Performer,No,8,Basic Embedded Systems
S523,Hardware,96,83,73,80,90,Moderate Performer,No,33,RTOS & Kernel Programming
S524,Hardware,71,66,57,21,26,Low Performer,No,63,Basic Embedded Systems
S525,Hardware,63,86,60,47,65,Low Performer,No,21,Basic Embedded Systems
S526,Hybrid,75,74,62,36,40,Low Performer,No,47,Basic Embedded Systems
S527,Software,77,87,66,14,12,Low Performer,No,70,Basic Embedded Systems
S528,Hardware,72,61,57,34,8,Low Performer,No,38,Basic Embedded Systems
S529,Software,63,72,70,91,35,Low Performer,Yes,12,Basic Embedded Systems
S530,Hybrid,73,91,67,70,85,Low Performer,No,17,Basic Embedded Systems
S531,Hybrid,51,71,79,31,89,Low Performer,No,12,Basic Embedded Systems
S532,Hybrid,94,70,67,10,57,Low Performer,No,69,Basic Embedded Systems
S533,Hardware,75,76,95,9,53,Moderate Performer,No,47,RTOS & Kernel Programming
S534,Software,63,80,96,72,11,Low Performer,No,43,Basic Embedded Systems
S535,Software,56,55,80,77,80,Low Performer,No,63,Basic Embedded Systems
S536,Software,52,76,87,76,77,Low Performer,No,48,Basic Embedded Systems
S537,Hybrid,96,89,81,56,13,Moderate Performer,No,13,RTOS & Kernel Programming
S538,Hardware,72,83,60,24,33,Low Performer,No,41,Basic Embedded Systems
S539,Hybrid,95,61,94,1,52,Low Performer,No,78,Basic Embedded Systems
S540,Hybrid,92,94,74,63,19,Moderate Performer,No,40,RTOS & Kernel Programming
S541,Software,96,56,82,34,74,Low Performer,No,32,Basic Embedded Systems
S542,Hybrid,94,59,87,6,15,Low Performer,No,46,Basic Embedded Systems
S543,Software,67,94,90,84,94,Low Performer,No,47,Basic Embedded Systems
S544,Hardware,87,66,57,17,69,Low Performer,No,46,Basic Embedded Systems
S545,Software,84,75,60,66,55,Low Performer,Yes,70,Basic Embedded Systems
S546,Hardware,64,70,71,41,82,Low Performer,No,59,Basic Embedded Systems
S547,Software,74,77,73,38,57,Moderate Performer,Yes,76,RTOS & Kernel Programming
S548,Hybrid,86,95,90,40,3,High Performer - Technical,No,52,Embedded Security
S549,Hybrid,77,51,66,74,3,Low Performer,No,26,Basic Embedded Systems
S550,Hardware,59,92,61,23,19,Low Performer,Yes,31,Basic Embedded Systems
S551,Hardware,88,50,95,59,9,Low Performer,Yes,71,Basic Embedded Systems
S552,Hardware,66,85,81,45,23,Low Performer,No,17,Basic Embedded Systems
S553,Software,88,75,64,18,98,Low Performer,No,49,Basic Embedded Systems
S554,Software,71,78,65,67,25,Low Performer,No,14,Basic Embedded Systems
S555,Hardware,75,70,71,89,36,Moderate Performer,Yes,13,RTOS & Kernel Programming
S556,Hybrid,93,60,77,41,84,Low Performer,No,58,Basic Embedded Systems
S557,Software,74,89,69,31,53,Low Performer,No,31,Basic Embedded Systems
S558,Software,66,60,82,38,20,Low Performer,No,38,Basic Embedded Systems
S559,Software,62,85,59,35,73,Low Performer,No,5,Basic Embedded Systems
S560,Hardware,69,98,89,96,37,Low Performer,No,36,Basic Embedded Systems
S561,Hardware,74,88,81,35,45,Moderate Performer,Yes,75,RTOS & Kernel Programming
S562,Hardware,53,89,99,2,3,Low Performer,No,71,Basic Embedded Systems
S563,Hardware,59,84,82,72,59,Low Performer,No,24,Basic Embedded Systems
S564,Hardware,52,83,51,7,56,Low Performer,No,39,Basic Embedded Systems
S565,Hybrid,90,96,82,96,44,Moderate Performer,Yes,21,RTOS & Kernel Programming
S566,Hybrid,94,73,82,69,19,Moderate Performer,No,22,RTOS & Kernel Programming
S567,Hardware,67,71,90,40,16,Low Performer,Yes,49,Basic Embedded Systems
S568,Software,96,54,62,67,70,Low Performer,No,57,Basic Embedded Systems
S569,Hardware,85,82,79,12,3,Moderate Performer,No,72,RTOS & Kernel Programming
S570,Hybrid,96,85,82,48,92,Moderate Performer,No,69,RTOS & Kernel Programming
S571,Hybrid,71,96,62,59,13,Low Performer,Yes,5,Basic Embedded Systems
S572,Software,83,69,75,1,2,Low Performer,Yes,62,Basic Embedded Systems
S573,Hybrid,96,68,71,59,87,Low Performer,No,30,Basic Embedded Systems
S574,Hardware,57,84,88,4,79,Low Performer,Yes,24,Basic Embedded Systems
S575,Software,89,92,51,43,57,Low Performer,Yes,14,Basic Embedded Systems
S576,Hardware,98,66,87,26,54,Low Performer,No,63,Basic Embedded Systems
S577,Hardware,93,94,88,31,3,High Performer - Technical,No,79,FPGA & ASIC Design
S578,Software,68,92,75,20,23,Low Performer,Yes,45,Basic Embedded Systems
S579,Hardware,91,83,95,7,33,Moderate Performer,No,9,RTOS & Kernel Programming
S580,Hybrid,90,58,99,71,29,Low Performer,Yes,69,Basic Embedded Systems
S581,Hardware,86,75,64,49,81,Low Performer,No,21,Basic Embedded Systems
S582,Software,55,51,83,66,18,Low Performer,No,26,Basic Embedded Systems
S583,Software,75,58,91,43,30,Low Performer,No,45,Basic Embedded Systems
S584,Software,83,58,93,57,59,Low Performer,No,72,Basic Embedded Systems
S585,Hardware,94,89,98,2,59,High Performer - Technical,No,73,FPGA & ASIC Design
S586,Software,55,66,89,85,18,Low Performer,No,15,Basic Embedded Systems
S587,Software,86,50,60,69,48,Low Performer,Yes,60,Basic Embedded Systems
S588,Hardware,82,74,52,1,62,Low Performer,No,55,Basic Embedded Systems
S589,Hybrid,71,92,55,86,82,Low Performer,No,25,Basic Embedded Systems
S590,Hardware,70,89,58,43,21,Low Performer,No,30,Basic Embedded Systems
S591,Software,55,91,55,1,23,Low Performer,No,23,Basic Embedded Systems
S592,Software,55,74,58,80,75,Low Performer,No,64,Basic Embedded Systems
S593,Hardware,97,88,88,34,29,High Performer - Technical,Yes,75,FPGA & ASIC Design
S594,Hybrid,53,84,80,97,57,Low Performer,No,51,Basic Embedded Systems
S595,Software,79,52,81,86,30,Low Performer,No,75,Basic Embedded Systems
S596,Software,60,99,90,29,99,Low Performer,No,30,Basic Embedded Systems
S597,Software,79,86,99,7,63,Moderate Performer,No,44,RTOS & Kernel Programming
S598,Hardware,80,93,61,21,18,Low Performer,No,9,Basic Embedded Systems
S599,Software,73,93,57,43,47,Low Performer,No,25,Basic Embedded Systems
S600,Hybrid,58,79,57,57,44,Low Performer,Yes,8,Basic Embedded Systems
